0.743,0.641
0.594,0.663
0.767,0.187
0.036,0.970
0.379,0.929
0.030,0.971
0.042,0.965
0.138,0.133
0.876,0.146
0.362,1.005
0.777,0.639
0.123,0.193
0.066,0.937
0.907,0.245
0.204,0.189
0.208,0.237
0.004,0.844
0.593,0.667
0.549,0.764
0.635,0.731
0.222,0.114
0.421,0.953
0.208,0.126
0.600,0.715
0.020,0.990
0.787,0.284
0.583,0.679
0.725,0.653
0.645,0.684
0.059,0.847
0.664,0.717
0.217,0.165
0.095,0.849
0.022,0.980
0.716,0.587
0.090,0.886
0.104,0.083
0.036,0.883
0.379,0.960
0.186,0.269
0.743,0.639
0.369,0.995
0.079,1.004
0.038,0.957
0.033,0.985
0.724,0.626
0.174,0.195
0.103,0.210
0.746,0.676
0.876,0.223
0.094,0.838
0.119,0.150
0.074,0.964
0.183,0.087
0.367,0.984
0.609,0.787
0.826,0.194
0.660,0.764
0.428,0.906
0.535,0.785
0.416,0.960
0.829,0.179
0.636,0.715
0.561,0.731
0.092,0.161
0.579,0.708
0.084,0.823
0.181,0.102
0.044,0.934
0.148,0.174
0.210,0.145
0.008,0.965
0.202,0.189
0.535,0.730
0.340,0.950
0.074,0.848
0.102,0.082
0.704,0.526
0.025,0.905
0.044,0.941
0.038,0.981
0.764,0.580
0.008,1.024
0.870,0.201
0.002,0.980
0.758,0.193
0.021,0.804
0.400,0.957
0.131,0.154
0.142,0.175
0.615,0.676
0.274,0.970
0.109,0.190
0.129,0.103
0.595,0.646
0.007,0.995
0.013,1.002
0.709,0.559
0.720,0.586
0.739,0.628
0.096,0.149
0.775,0.624
0.581,0.638
0.856,0.232
0.224,0.058
0.137,0.242
0.726,0.568
0.380,1.001
0.838,0.231
0.050,1.074
0.131,0.145
0.082,0.109
0.389,0.974
0.163,0.194
0.158,0.188
0.690,0.733
0.041,0.929
0.074,0.856
0.782,0.560
0.420,0.948
0.027,0.849
0.040,1.006
0.584,0.713
0.005,0.858
0.049,0.816
0.593,0.768
0.142,0.129
0.760,0.577
0.807,0.243
0.945,0.210
0.193,0.116
0.392,0.916
0.205,0.221
0.735,0.553
0.757,0.595
0.730,0.579
0.218,0.200
0.035,0.929
0.106,0.135
0.578,0.742
0.621,0.687
0.776,0.613
0.027,0.948
0.809,0.212
0.191,0.224
0.097,0.857
0.781,0.166
0.748,0.668
0.186,0.197
0.718,0.522
0.010,1.017
0.729,0.594
0.172,0.243
0.722,0.583
0.131,0.154
0.151,0.208
0.048,0.992
0.588,0.717
0.230,0.172
0.169,0.085
0.681,0.613
0.738,0.612
0.651,0.666
0.791,0.596
0.830,0.296
0.604,0.738
0.164,0.188
0.060,0.789
0.015,0.895
0.406,1.004
0.606,0.665
0.029,0.864
0.355,0.926
0.774,0.202
0.724,0.614
0.332,0.976
0.581,0.730
0.104,0.229
0.022,0.975
0.698,0.582
0.871,0.172
0.342,0.980
0.036,1.014
0.024,1.018
0.088,0.871
0.192,0.127
0.150,0.143
0.100,0.212
0.004,0.943
0.030,0.962
0.231,0.151
0.417,0.989
0.048,0.894
0.132,0.159
0.863,0.245
0.014,0.976
0.179,0.114
0.746,0.575
0.061,0.963
0.375,1.065
0.047,0.929
0.336,0.965
0.173,0.237
0.772,0.249
0.225,0.129
0.044,0.912
0.817,0.180
0.566,0.750
0.306,0.993
0.828,0.174
0.124,0.176
0.795,0.184
0.059,0.884
0.722,0.566
0.360,0.941
0.204,0.143
0.392,0.951
0.751,0.625
0.411,1.004
0.072,1.031
0.230,0.239
0.039,0.871
0.403,0.961
0.046,0.926
0.800,0.246
0.569,0.653
0.199,0.228
0.001,0.998
0.141,0.223
0.712,0.627
0.563,0.667
0.619,0.723
0.010,0.959
0.180,0.240
0.086,0.885
0.684,0.714
0.194,0.212
0.749,0.542
0.020,0.909
0.030,0.792
0.818,0.224
0.637,0.629
0.071,0.962
0.754,0.572
0.210,0.137
0.050,0.909
0.839,0.300
0.751,0.566
0.339,0.904
0.348,0.935
0.006,0.984
0.721,0.669
0.063,0.936
0.376,0.943
0.052,1.045
0.693,0.661
0.895,0.230
0.026,0.918
0.382,0.897
0.859,0.230
0.172,0.129
0.081,0.981
0.763,0.664
0.381,0.973
0.403,0.963
0.364,0.941
0.321,0.931
0.846,0.229
0.590,0.722
0.311,0.953
0.154,0.867
0.608,0.779
0.634,0.749
0.369,0.916
0.102,0.847
0.839,0.198
0.746,0.645
0.041,0.995
0.841,0.189
0.167,0.172
0.710,0.614
0.579,0.714
0.033,0.905
0.340,1.002
0.392,1.001
0.014,0.905
0.905,0.250
0.003,0.863
0.633,0.728
0.597,0.724
0.364,0.951
0.683,0.641
0.039,0.992
0.020,1.008
0.017,0.858
0.018,0.869
0.031,0.876
0.603,0.715
0.208,0.169
0.199,0.182
0.062,0.905
0.035,0.886
0.172,0.167
0.845,0.255
0.149,0.156
0.196,0.055
0.155,0.198
0.038,0.885
0.422,0.894
0.781,0.240
0.628,0.716
0.078,1.030
0.716,0.596
0.655,0.662
0.361,0.884
0.049,1.008
0.634,0.650
0.231,0.157
0.725,0.579
0.379,0.952
0.075,0.122
0.045,1.004
0.020,0.876
0.324,0.983
0.019,0.868
0.063,0.768
0.320,0.908
0.723,0.571
0.880,0.203
0.761,0.558
0.168,0.164
0.204,0.164
0.395,0.928
0.641,0.742
0.265,0.125
0.042,0.906
0.189,0.210
0.412,0.924
0.574,0.700
0.171,0.157
0.002,0.990
0.036,0.908
0.357,0.940
0.677,0.593
0.567,0.755
0.706,0.508
0.020,1.009
0.039,0.957
0.086,0.883
0.056,0.839
0.185,0.144
0.826,0.199
0.580,0.733
0.175,0.199
0.692,0.626
0.090,0.850
0.725,0.599
0.610,0.676
0.164,0.804
0.881,0.245
0.596,0.735
0.565,0.644
0.025,0.987
0.709,0.597
0.289,0.179
0.100,0.820
0.823,0.202
0.294,0.972
0.167,0.183
0.594,0.699
0.860,0.210
0.223,0.130
0.077,0.871
0.796,0.218
0.816,0.205
0.127,0.242
0.008,0.846
0.131,0.180
0.788,0.608
0.141,0.040
0.073,0.801
0.393,0.938
0.719,0.587
0.330,0.949
0.592,0.671
0.581,0.651
0.074,0.796
0.665,0.670
0.068,0.205
0.001,0.898
0.359,1.005
0.383,0.872
0.185,0.157
0.424,0.935
0.119,0.228
0.729,0.532
0.175,0.141
0.047,1.079
0.797,0.213
0.832,0.174
0.008,0.947
0.756,0.566
0.370,0.970
0.686,0.592
0.759,0.568
0.104,0.845
0.343,0.958
0.194,0.177
0.143,0.181
0.703,0.559
0.174,0.117
0.230,0.178
0.099,0.902
0.186,0.097
0.011,0.826
0.779,0.172
0.018,1.007
0.131,0.212
0.161,0.208
0.361,0.949
0.097,0.853
0.794,0.214
0.868,0.195
0.792,0.160
0.206,0.135
0.380,0.959
0.425,0.975
0.053,1.017
0.577,0.670
0.680,0.595
0.873,0.117
0.631,0.706
0.745,0.613
0.371,0.884
0.046,0.957
0.049,0.836
0.190,0.141
0.141,0.188
0.127,0.180
0.354,0.970
0.002,1.032
0.007,0.831
0.012,0.975
0.056,0.883
0.303,0.991
0.007,0.969
0.528,0.649
0.138,0.156
0.024,0.977
0.118,0.141
0.179,0.161
0.602,0.715
0.347,0.914
0.381,0.926
0.151,0.205
0.762,0.250
0.620,0.701
0.575,0.763
0.544,0.664
0.758,0.664
0.026,0.876
0.370,0.985
0.689,0.629
0.566,0.731
0.002,0.939
0.383,0.974
0.716,0.588
0.797,0.272
0.368,0.929
0.000,0.945
0.634,0.721
0.054,0.986
0.161,0.140
0.837,0.182
0.579,0.741
0.097,0.866
0.153,0.117
0.819,0.648
0.594,0.748
0.112,0.168
0.606,0.680
0.364,0.962
0.208,0.188
0.072,0.857
0.695,0.568
0.065,0.760
0.607,0.685
0.726,0.572
0.323,0.930
0.074,0.827
0.033,0.845
0.104,0.125
0.794,0.605
0.002,0.981
0.660,0.602
0.026,0.976
0.867,0.163
0.859,0.174
0.068,0.894
0.039,0.843
0.174,0.255
0.239,0.183
0.118,0.153
0.821,0.238
0.826,0.201
0.511,0.727
0.164,0.299
0.025,0.972
0.160,0.137
0.314,0.973
0.114,0.170
0.198,0.158
0.530,0.691
0.527,0.727
0.717,0.592
0.322,0.986
0.718,0.537
0.160,0.892
0.222,0.195
0.071,0.884
0.568,0.697
0.114,0.158
0.920,0.170
0.754,0.621
0.189,0.171
0.875,0.252
0.629,0.505
0.160,0.175
0.376,0.976
0.127,0.862
0.414,0.932
0.349,0.921
0.049,0.968
0.153,0.064
0.079,0.947
0.764,0.689
0.201,0.257
0.018,0.924
0.078,0.839
0.148,0.852
0.208,0.230
0.743,0.576
0.082,0.890
0.113,0.144
0.585,0.703
0.474,0.956
0.007,1.024
0.048,0.943
0.732,0.197
0.799,0.218
0.266,0.260
0.343,0.938
0.002,0.962
0.069,0.847
0.402,0.989
0.329,0.889
0.783,0.602
0.770,0.172
0.591,0.691
0.844,0.207
0.331,0.926
0.018,0.951
0.624,0.657
0.038,0.871
0.649,0.580
0.152,0.163
0.763,0.599
0.022,0.832
0.012,0.842
0.055,0.961
0.052,1.006
0.037,0.925
0.212,0.204
0.174,0.148
0.180,0.187
0.713,0.619
0.201,0.163
0.661,0.506
0.051,0.957
0.686,0.703
0.602,0.791
0.180,0.185
0.225,0.187
0.006,0.950
0.798,0.189
0.144,0.195
0.026,0.874
0.096,0.147
0.609,0.700
0.047,0.903
0.745,0.561
0.236,0.218
0.626,0.637
0.400,0.939
0.593,0.671
0.115,0.172
0.167,0.185
0.444,0.982
0.736,0.607
0.435,0.894
0.157,0.144
0.188,0.179
0.065,1.017
0.733,0.651
0.193,0.229
0.937,0.266
0.395,0.963
0.091,0.144
0.043,0.894
0.827,0.154
0.356,1.009
0.028,0.932
0.274,0.949
0.013,0.949
0.858,0.257
0.161,0.117
0.164,0.101
0.579,0.699
0.225,0.267
0.121,0.924
0.315,0.925
0.358,0.915
0.048,0.959
0.093,0.988
0.006,0.945
0.640,0.667
0.776,0.528
0.376,0.953
0.843,0.675
0.359,0.938
0.336,0.954
0.178,0.172
0.108,0.223
0.193,0.164
0.172,0.144
0.390,1.000
0.834,0.168
0.737,0.575
0.603,0.711
0.189,0.149
0.039,1.011
0.673,0.569
0.020,0.803
0.059,0.812
0.658,0.761
0.811,0.550
0.861,0.169
0.139,0.186
0.792,0.193
0.195,0.241
0.383,0.935
0.793,0.223
0.171,0.115
0.067,1.024
0.608,0.745
0.039,0.999
0.012,0.821
0.062,0.800
0.068,0.991
0.414,0.947
0.170,0.081
0.047,0.871
0.075,0.877
0.413,0.903
0.055,0.841
0.524,0.700
0.692,0.612
0.039,1.017
0.057,0.128
0.060,0.872
0.037,0.995
0.353,0.985
0.245,0.091
0.347,0.985
0.722,0.227
0.723,0.604
0.565,0.658
0.009,0.940
0.166,0.847
0.718,0.651
0.052,0.957
0.576,0.673
0.840,0.177
0.206,0.175
0.067,0.821
0.103,0.174
0.644,0.692
0.145,0.166
0.815,0.223
0.103,0.913
0.033,0.911
0.392,0.984
0.669,0.582
0.003,0.844
0.152,0.144
0.739,0.567
0.219,0.189
0.758,0.168
0.842,0.286
0.160,0.142
0.133,0.834
0.159,0.149
0.728,0.601
0.017,0.897
0.061,0.949
0.657,0.704
0.541,0.674
0.056,0.978
0.908,0.229
0.058,0.913
0.149,0.140
0.881,0.102
