-8.461,8.338,3.102
-3.965,9.618,5.268
-6.511,-6.342,-2.500
-1.412,-4.212,2.822
9.519,-6.071,-5.219
-4.041,9.311,3.396
-7.131,-3.230,-2.460
-7.751,-3.670,-2.659
6.059,-6.375,-5.116
-2.058,8.133,4.399
-5.288,-4.575,0.766
7.169,-7.257,-7.180
2.444,-5.999,-5.950
3.756,-7.542,7.623
-6.522,-4.590,0.598
-6.837,-3.341,-3.138
-9.967,-4.257,-2.641
-5.993,-1.959,-0.165
-4.852,-2.873,-1.961
-1.465,-3.248,3.428
3.794,-9.248,8.856
-1.805,-3.037,1.553
0.066,-4.390,1.575
-2.170,-2.358,2.338
7.860,-6.758,-7.091
3.587,-6.343,-8.544
3.100,-6.155,-8.084
-7.126,-4.719,-2.849
6.636,-5.598,-8.214
0.611,-4.642,0.731
-5.047,-3.119,1.179
1.171,-8.353,-6.082
3.737,-7.903,8.948
-1.902,7.937,5.377
-6.390,-4.049,0.130
-7.449,-5.373,-3.048
-1.277,7.879,3.265
3.491,-9.342,9.312
7.834,-5.850,-7.095
2.317,-7.693,-7.442
-10.327,7.718,2.981
-8.006,-3.326,-0.177
0.008,-5.259,-7.596
-1.662,-5.107,0.908
-6.344,-3.142,-2.396
6.209,-9.931,10.504
0.515,-4.195,3.526
2.453,-6.454,-8.173
-5.265,-5.773,0.493
-9.172,6.003,1.114
-5.713,-3.947,0.012
-2.568,9.500,6.747
-0.402,-4.259,2.267
-1.353,8.406,3.632
1.724,-8.498,-6.678
-1.969,-4.857,-0.169
-0.245,-4.385,2.654
1.874,-7.766,-7.453
3.684,-9.821,8.445
6.583,-5.478,-7.407
-10.065,4.799,2.417
1.399,-6.518,-7.195
-0.789,-3.904,3.513
-9.067,7.886,4.266
-1.260,-2.517,1.146
1.736,-9.542,-8.433
-6.459,-5.318,0.874
-9.493,6.981,3.354
6.424,-6.952,-7.705
2.887,-10.125,9.430
3.821,-8.307,9.240
-1.478,-4.662,1.342
-7.392,-4.373,-0.603
2.172,-5.765,-7.100
-7.230,-3.952,0.921
-5.457,-3.572,1.315
-8.428,7.564,2.664
-4.707,-2.962,-0.913
-1.061,9.953,4.464
-9.653,6.977,2.132
-8.804,6.585,2.477
-2.088,-4.835,1.682
-5.808,-4.844,-3.906
-5.514,-4.409,0.331
-6.327,-3.344,-3.332
-7.426,-4.049,-0.217
