0.504,0.942,0.749
0.723,0.003,1.002
0.394,0.943,0.749
0.319,0.989,0.755
0.029,0.884,0.573
0.428,0.971,0.722
0.713,0.088,0.944
0.375,0.991,0.682
0.696,0.050,0.956
0.599,0.127,0.152
0.644,0.168,0.169
0.559,0.147,0.156
0.555,0.163,0.173
0.129,0.851,0.623
0.026,0.883,0.589
0.355,0.927,0.731
0.772,0.020,1.005
0.121,0.874,0.685
0.707,0.094,0.953
0.109,0.862,0.643
0.342,0.934,0.717
0.619,0.071,0.154
0.378,0.935,0.696
0.073,0.823,0.637
0.381,1.025,0.671
0.109,0.961,0.639
0.097,0.849,0.644
0.590,0.203,0.216
0.065,0.873,0.609
0.759,0.094,1.019
0.652,0.087,0.060
0.054,0.834,0.603
0.511,0.237,0.114
0.406,1.005,0.751
0.712,0.063,0.994
0.702,0.013,0.944
0.647,0.001,0.975
0.464,0.898,0.763
0.027,0.953,0.611
0.073,0.851,0.565
0.682,0.055,0.994
0.522,0.195,0.113
0.590,0.157,0.129
0.676,0.015,0.940
0.726,0.019,1.008
0.047,0.916,0.574
0.034,0.862,0.586
0.347,0.949,0.742
0.360,1.028,0.709
0.727,0.035,0.964
0.599,0.164,0.142
0.706,0.060,0.857
0.798,0.098,0.989
0.029,0.942,0.587
0.362,0.984,0.781
0.043,0.944,0.587
0.697,0.006,0.971
0.579,0.110,0.144
0.115,0.873,0.613
0.610,0.180,0.175
0.298,0.956,0.738
0.384,0.940,0.670
0.344,0.920,0.772
0.367,0.917,0.739
0.101,0.786,0.617
0.348,0.955,0.759
0.595,0.119,0.161
0.597,0.154,0.178
0.675,0.073,0.998
0.060,0.864,0.577
0.019,0.858,0.639
0.349,0.999,0.780
0.577,0.230,0.174
0.560,0.148,0.202
0.339,0.940,0.786
0.661,0.038,0.977
0.138,0.910,0.619
0.746,0.076,0.972
0.003,0.878,0.601
0.656,0.193,0.223
0.638,0.137,0.165
0.599,0.126,0.166
0.709,0.024,0.951
0.746,0.100,0.976
0.769,0.040,0.951
0.378,1.004,0.746
0.323,0.952,0.699
0.728,0.011,1.019
0.726,0.034,0.980
0.411,0.899,0.751
0.553,0.125,0.208
0.340,0.982,0.699
0.560,0.150,0.161
0.632,0.187,0.143
0.646,0.036,0.999
0.665,0.087,0.072
0.098,0.926,0.523
0.697,0.020,0.990
0.324,0.943,0.740
0.083,0.802,0.591
0.022,1.000,0.582
0.011,0.840,0.625
0.000,0.842,0.571
0.556,0.189,0.147
0.619,0.092,0.182
0.630,0.037,0.926
0.016,0.792,0.563
0.695,0.036,0.956
0.094,0.785,0.612
